Rank,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume
1,4.667,86.036,401.504,0.289,0.333,0.064,0,0.008
2,5.933,18.245,108.242,0.221,0.231,0.065,0.036,0.008
3,4.614,208.482,961.883,0.053,0.182,0.131,0.023,0.124
4,5.091,71.342,363.218,0.263,0.3,0.134,0.044,0.01
5,2.795,362.545,1013.221,0,0.294,0.19,0.096,0.086
6,4.68,108.801,509.145,0.243,0.3,0.107,0.01,0.065
7,4.586,124.259,569.911,0.273,0.333,0.063,0.051,0.077
8,4.529,18.536,83.947,0.221,0.231,0.06,0.044,0.011
9,4.948,126.684,626.777,0.056,0.15,0.158,0.077,0.082
10,3.996,12.045,48.132,0.133,0.143,0.044,0.042,0.005
11,3.398,86.709,294.616,0.474,0.5,0.073,0.046,0.019
12,3.669,156.96,575.933,0.25,0.333,0.063,0.083,0.087
13,4.529,87.434,396.022,0.091,0.167,0.176,0.017,0.067
14,3.883,53.746,208.673,0.407,0.429,0.115,0.074,0.009
15,2.855,81.58,232.936,0.391,0.417,0.074,0.039,0.013
16,2.801,5.963,16.699,0,0.012,0.019,0.013,0.001
17,4.849,76.401,370.502,0,0.1,0,0,0.189
18,4.901,14.862,72.842,0,0.018,0.107,0.057,0.046
19,2.13,109.584,233.37,0.357,0.4,0.056,0.056,0.002
20,2.589,99.489,257.622,0.467,0.5,0.089,0.036,0.019
