,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,formula_discharge,weighted_score
1,4.588,335.405,1538.830,0.000,0.250,0.058,0.007,0.011,Li2VF5,0.799
2,3.568,482.167,1720.163,0.000,0.333,0.036,0.075,0.053,Li3VF5,0.779
3,4.333,288.568,1250.262,0.125,0.300,0.039,0.000,0.015,Li3VF6,0.747
4,3.936,356.601,1403.722,0.000,0.267,0.065,0.037,0.030,Li4V2F9,0.743
5,4.245,288.568,1225.020,0.125,0.300,0.026,0.007,0.020,Li3VF6,0.740
6,4.260,335.405,1428.885,0.000,0.250,0.000,0.046,0.072,Li2VF5,0.735
7,3.581,482.167,1726.657,0.000,0.333,0.010,0.052,0.137,Li3VF5,0.732
8,3.702,358.236,1326.050,0.000,0.268,0.023,0.070,0.029,Li11V6O5F19,0.732
9,3.685,358.236,1320.071,0.000,0.268,0.028,0.078,0.024,Li11V6O5F19,0.730
10,3.586,482.167,1729.243,0.000,0.333,0.034,0.067,0.122,Li3VF5,0.730
11,4.212,288.568,1215.518,0.125,0.300,0.053,0.035,0.005,Li3VF6,0.729
12,4.044,288.568,1166.894,0.125,0.300,0.006,0.031,0.025,Li3VF6,0.722
13,3.760,388.940,1462.294,0.000,0.286,0.096,0.094,0.029,Li2VOF3,0.720
14,3.790,273.839,1037.783,0.000,0.250,0.008,0.000,0.036,LiCoO2,0.710
15,4.629,253.209,1171.981,0.200,0.333,0.106,0.013,0.011,Li4VF7,0.708
16,5.338,198.631,1060.253,0.000,0.167,0.000,0.041,0.055,LiCrF4,0.708
17,5.614,194.393,1091.246,0.000,0.167,0.000,0.001,0.092,LiMnF4,0.705
18,3.300,380.657,1256.250,0.000,0.286,0.041,0.033,0.062,Li2VF4,0.701
19,3.798,388.940,1477.121,0.000,0.286,0.096,0.083,0.065,Li2VOF3,0.699
20,4.728,217.228,1027.137,0.000,0.167,0.086,0.034,0.007,Li2CoP2O7,0.697
21,4.059,294.729,1196.402,0.000,0.250,0.191,0.002,0.002,LiCrO2,0.697
22,4.281,236.673,1013.078,0.138,0.282,0.049,0.029,0.012,Li11V4F24,0.693
23,3.365,430.788,1449.434,0.000,0.300,0.150,0.000,0.082,Na2Li3FeO4,0.693
24,3.433,417.261,1432.517,0.125,0.364,0.046,0.056,0.089,Li4VF6,0.693
25,4.330,313.921,1359.316,0.143,0.333,0.015,0.050,0.094,Li3MnF5,0.692
26,3.077,512.583,1577.059,0.000,0.400,0.127,0.081,0.102,Li2NiO2,0.691
27,4.452,204.784,911.797,0.000,0.167,0.054,0.024,0.005,LiVOF3,0.691
28,5.910,218.556,1291.742,0.000,0.200,0.000,0.016,0.153,LiNiF3,0.690
29,4.253,200.196,851.494,0.000,0.167,0.000,0.006,0.024,LiVF4,0.690
30,3.821,274.063,1047.323,0.000,0.250,0.051,0.014,0.037,Li3Co2NiO6,0.690
31,3.682,246.157,906.410,0.000,0.200,0.005,0.049,0.003,LiVO2F,0.689
32,4.638,175.317,813.129,0.000,0.143,0.007,0.037,0.007,LiVF5,0.689
33,3.839,377.827,1450.498,0.000,0.286,0.006,0.064,0.123,Li2CrF4,0.689
34,4.689,175.317,822.109,0.000,0.143,0.005,0.029,0.017,LiVF5,0.687
35,4.340,200.196,868.815,0.000,0.167,0.025,0.012,0.018,LiVF4,0.687
36,3.821,388.940,1486.238,0.000,0.286,0.058,0.049,0.117,Li2VOF3,0.686
37,3.150,285.493,899.400,0.000,0.250,0.015,0.029,0.010,LiMnO2,0.686
38,4.543,226.142,1027.383,0.000,0.176,0.038,0.000,0.059,Li3VFeP2(O4F)2,0.684
39,3.813,274.007,1044.700,0.000,0.250,0.039,0.010,0.052,Li4Co3NiO8,0.684
40,4.712,175.317,826.064,0.000,0.143,0.014,0.033,0.018,LiVF5,0.682
41,4.404,166.629,733.808,0.000,0.143,0.026,0.005,0.003,LiCoPO4,0.679
42,5.298,137.902,730.666,0.000,0.105,0.069,0.013,0.005,Li2Co(PO3)4,0.677
43,4.158,204.784,851.467,0.000,0.167,0.020,0.046,0.008,LiVOF3,0.677
44,2.646,372.870,986.575,0.286,0.444,0.050,0.018,0.012,Li4CrO4,0.676
45,5.208,127.791,665.499,0.000,0.105,0.050,0.016,0.003,Li2Ni2(SO4)3,0.673
46,4.897,171.245,838.652,0.070,0.184,0.079,0.000,0.019,Li9Mn3P8O29,0.672
47,4.461,204.784,913.638,0.000,0.167,0.048,0.018,0.035,LiVOF3,0.672
48,4.769,217.228,1036.059,0.000,0.167,0.107,0.045,0.029,Li2CoP2O7,0.670
49,4.343,166.629,723.733,0.000,0.143,0.018,0.007,0.014,LiCoPO4,0.669
50,4.501,170.910,769.226,0.143,0.250,0.041,0.000,0.015,Li2VOF4,0.668
51,4.668,196.238,916.046,0.000,0.150,0.062,0.000,0.047,Li3Cr2(PO4)3,0.667
52,4.974,193.932,964.558,0.154,0.267,0.138,0.019,0.014,Li4Ni(PO4)2,0.666
53,4.849,155.810,755.501,0.000,0.128,0.074,0.015,0.009,Li6Co5(P2O7)4,0.665
54,3.699,274.706,1016.085,0.000,0.250,0.044,0.044,0.048,Li10FeCo9O20,0.665
55,3.014,378.791,1141.587,0.000,0.292,0.088,0.035,0.060,Li7V5O12,0.664
56,4.483,204.784,917.967,0.000,0.167,0.051,0.017,0.045,LiVOF3,0.664
57,4.302,166.629,716.810,0.000,0.143,0.006,0.003,0.027,LiCoPO4,0.663
58,4.595,201.740,927.042,0.083,0.214,0.082,0.018,0.029,Li3Mn(PO4)2,0.663
59,4.128,236.525,976.469,0.100,0.250,0.133,0.021,0.005,Li3Al2FeO6,0.663
60,2.756,320.296,882.586,0.083,0.302,0.003,0.060,0.017,Li19V12O32,0.663
61,4.836,370.151,1790.020,0.000,0.286,0.079,0.043,0.211,Li2MnF4,0.662
62,4.688,208.777,978.769,0.000,0.182,0.015,0.054,0.067,Li2Mn2F7,0.662
63,5.751,88.585,509.459,0.000,0.071,0.070,0.001,0.004,LiNi(PO3)3,0.661
64,3.654,217.201,793.554,0.000,0.154,0.009,0.033,0.014,NaLi2MnPCO7,0.660
65,4.558,175.317,799.172,0.000,0.143,0.004,0.046,0.034,LiVF5,0.660
66,5.068,175.317,888.450,0.000,0.143,0.037,0.002,0.073,LiVF5,0.660
67,5.832,88.585,516.593,0.000,0.071,0.076,0.000,0.009,LiNi(PO3)3,0.660
68,4.127,293.249,1210.329,0.000,0.222,0.035,0.029,0.110,Li2MnPO4F,0.659
69,4.794,149.885,718.539,0.125,0.222,0.027,0.000,0.035,Li2VF6,0.656
70,5.324,106.752,568.350,0.000,0.083,0.059,0.022,0.001,LiCr(SO4)2,0.656
71,4.147,228.354,946.873,0.091,0.231,0.053,0.039,0.035,Li3CoPCO7,0.656
72,5.297,141.496,749.485,0.000,0.115,0.135,0.009,0.008,Li3Fe3(PO4)4,0.656
73,4.925,166.877,821.900,0.000,0.143,0.140,0.033,0.000,LiNiPO4,0.655
74,4.188,213.741,895.144,0.000,0.154,0.054,0.028,0.036,NaLi2CoPCO7,0.654
75,4.334,166.629,722.105,0.000,0.143,0.008,0.000,0.041,LiCoPO4,0.654
76,4.630,212.289,982.831,0.000,0.121,0.073,0.063,0.035,Li4MnH6(S2O9)2,0.654
77,4.916,175.317,861.915,0.000,0.143,0.084,0.064,0.020,LiVF5,0.654
78,5.529,88.515,489.431,0.000,0.071,0.048,0.000,0.012,LiCo(PO3)3,0.654
79,4.077,196.491,801.018,0.000,0.150,0.047,0.044,0.011,Li6VCr3(PO4)6,0.654
80,3.923,226.070,886.769,0.053,0.182,0.032,0.062,0.019,Li2VH2OF5,0.653
81,3.832,158.726,608.256,0.000,0.125,0.000,0.000,0.005,LiVPO5,0.653
82,4.954,166.877,826.792,0.000,0.143,0.107,0.000,0.036,LiNiPO4,0.652
83,5.979,71.504,427.529,0.000,0.056,0.060,0.001,0.013,LiCr(PO3)4,0.652
84,3.677,232.308,854.159,0.091,0.231,0.016,0.050,0.022,Li3MnPCO7,0.652
85,4.703,139.006,653.807,0.000,0.105,0.063,0.009,0.006,Li2Fe(PO3)4,0.652
86,4.668,156.811,732.040,0.000,0.111,0.028,0.000,0.042,LiCrPHO5,0.652
87,4.134,161.983,669.679,0.000,0.143,0.005,0.039,0.010,LiCuPO4,0.652
88,4.667,193.764,904.349,0.154,0.267,0.067,0.001,0.053,Li4Co(PO4)2,0.652
89,3.939,274.512,1081.186,0.000,0.250,0.130,0.000,0.064,LiNiO2,0.652
90,3.347,380.657,1274.099,0.000,0.286,0.045,0.023,0.131,Li2VF4,0.651
91,3.461,223.754,774.510,0.000,0.200,0.007,0.024,0.029,LiFeF3,0.651
92,4.725,174.692,825.440,0.167,0.286,0.000,0.015,0.068,Li2CuF4,0.651
93,5.546,116.342,645.211,0.000,0.087,0.090,0.033,0.010,Li2Cr(PO3)5,0.651
94,4.045,294.729,1192.200,0.000,0.250,0.185,0.000,0.064,LiCrO2,0.651
95,5.278,113.216,597.533,0.000,0.091,0.080,0.017,0.005,LiFeP2O7,0.650
96,5.622,87.187,490.196,0.000,0.071,0.054,0.002,0.017,LiCu(PO3)3,0.650
97,4.686,245.319,1149.457,0.056,0.227,0.164,0.056,0.041,Li5Ni2(PO4)3,0.650
98,3.942,242.540,956.212,0.154,0.312,0.126,0.048,0.004,Li5Mn2CoO8,0.650
99,3.115,290.439,904.800,0.000,0.250,0.101,0.050,0.005,Li5Mn3V2O10,0.650
100,4.803,217.228,1043.248,0.000,0.167,0.077,0.015,0.085,Li2CoP2O7,0.650
