,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
1,LiCuPO4,4.134,161.983,669.679,0.000,0.143,0.005,0.039,0.010,0.652
2,Li2CuF4,4.725,174.692,825.440,0.167,0.286,0.000,0.015,0.068,0.651
3,LiCu(PO3)3,5.622,87.187,490.196,0.000,0.071,0.054,0.002,0.017,0.650
4,Li6Cu9(PO4)8,4.208,117.094,492.720,0.000,0.109,0.013,0.025,0.005,0.628
5,Li2CuP2O7,4.624,106.621,492.989,0.091,0.167,0.042,0.039,0.004,0.620
6,Li5Cu(PO4)2,3.754,185.996,698.292,0.214,0.312,0.056,0.035,0.016,0.618
7,Li2Cu(PO3)4,4.701,68.142,320.349,0.056,0.105,0.003,0.015,0.005,0.617
8,Li2Cu(PO3)4,5.298,68.142,360.996,0.056,0.105,0.039,0.018,0.018,0.616
9,Li2Cu(PO3)4,5.397,68.142,367.780,0.056,0.105,0.048,0.021,0.023,0.612
10,LiCuPO4F,5.134,145.300,745.990,0.000,0.125,0.123,0.045,0.046,0.612
11,Li5Cu6(P2O7)4,4.598,120.537,554.182,0.000,0.106,0.058,0.025,0.032,0.610
12,Li2CuPCO7,4.625,115.321,533.357,0.091,0.167,0.075,0.034,0.017,0.605
13,Li5Cu(PO4)2,3.766,185.996,700.523,0.214,0.312,0.055,0.032,0.037,0.603
14,Li4Cu(PO4)2,4.488,95.293,427.723,0.214,0.267,0.056,0.026,0.004,0.602
15,LiCu2P3O10,4.598,69.264,318.455,0.000,0.062,0.038,0.032,0.000,0.599
16,Li4TiCu3(PO4)4,3.451,165.914,572.500,0.000,0.143,0.038,0.081,0.000,0.599
17,Li6CuF8,4.134,104.213,430.773,0.357,0.400,0.001,0.036,0.019,0.595
18,Li6Cu2C4SO16,3.995,106.179,424.144,0.148,0.207,0.087,0.068,0.005,0.560
19,Li(CuO)2,3.107,161.424,501.523,0.000,0.200,0.180,0.005,0.004,0.560
20,Li3CuSbO5,3.575,93.670,334.876,0.222,0.300,0.065,0.021,0.012,0.556
21,Li4CuNi3O8,3.681,67.786,249.528,0.200,0.250,0.033,0.018,0.016,0.551
22,Li5Cu2Ni5O12,3.804,41.408,157.534,0.174,0.208,0.028,0.013,0.007,0.549
23,Li2CuO2,2.570,163.284,419.579,0.308,0.400,0.028,0.014,0.048,0.536
24,Li3(CuO2)2,2.855,126.474,361.136,0.250,0.333,0.025,0.010,0.066,0.518
25,LiCuF3,4.284,105.119,450.324,0.111,0.200,0.000,0.029,0.144,0.513
26,Li3La14(CuO7)4,3.492,10.047,35.088,0.042,0.061,0.038,0.029,0.002,0.511
27,Li5Cu(HO2)2,2.855,81.580,232.936,0.391,0.417,0.074,0.039,0.013,0.498
28,Li4Cu3TeO8,2.709,56.544,153.174,0.200,0.250,0.074,0.117,0.000,0.463
29,LiFeCuS2,1.801,140.718,253.403,0.000,0.200,0.170,0.124,0.002,0.444
30,Li7CuO4,1.589,152.168,241.819,0.545,0.583,0.055,0.093,0.048,0.433
