,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
1,Na2Li3FeO4,3.365,430.788,1449.434,0.000,0.300,0.150,0.000,0.082,0.693
2,Li3VFeP2(O4F)2,4.543,226.142,1027.383,0.000,0.176,0.038,0.000,0.059,0.684
3,Li10FeCo9O20,3.699,274.706,1016.085,0.000,0.250,0.044,0.044,0.048,0.665
4,Li3Al2FeO6,4.128,236.525,976.469,0.100,0.250,0.133,0.021,0.005,0.663
5,Li3Fe3(PO4)4,5.297,141.496,749.485,0.000,0.115,0.135,0.009,0.008,0.656
6,Li2Fe(PO3)4,4.703,139.006,653.807,0.000,0.105,0.063,0.009,0.006,0.652
7,LiFeF3,3.461,223.754,774.510,0.000,0.200,0.007,0.024,0.029,0.651
8,LiFeP2O7,5.278,113.216,597.533,0.000,0.091,0.080,0.017,0.005,0.650
9,Li2FeP2O7,4.685,219.981,1030.627,0.000,0.167,0.181,0.019,0.028,0.649
10,Li2FeO3,4.100,227.661,933.369,0.200,0.333,0.131,0.000,0.020,0.649
11,LiFe(SO4)2,5.373,105.140,564.868,0.000,0.083,0.062,0.021,0.012,0.648
12,Li2FeP2HO8,5.147,102.815,529.207,0.077,0.143,0.073,0.000,0.002,0.645
13,Li4FeNi3(PO4)4,4.590,167.621,769.337,0.000,0.143,0.090,0.003,0.030,0.644
14,LiFeP2O7,5.053,113.216,572.042,0.000,0.091,0.054,0.014,0.015,0.644
15,Li3Fe3(PO4)4,5.228,141.496,739.796,0.000,0.115,0.128,0.011,0.021,0.643
16,Li8NbFe7(PO4)12,4.959,127.702,633.288,0.000,0.105,0.075,0.007,0.022,0.640
17,Li8Fe7P12WO48,4.921,121.141,596.089,0.000,0.105,0.066,0.013,0.016,0.640
18,Li9Fe3P8O29,5.123,170.751,874.729,0.070,0.184,0.114,0.003,0.056,0.639
19,Li2FeP2O7,3.932,219.981,865.057,0.000,0.167,0.049,0.034,0.045,0.638
20,Li3Fe2(AsO4)3,5.086,146.384,744.489,0.000,0.150,0.145,0.001,0.029,0.636
21,Li5Fe2P2(CO7)2,4.137,176.188,728.824,0.091,0.200,0.070,0.030,0.009,0.636
22,Li7Fe4P9O32,5.059,176.539,893.175,0.000,0.135,0.134,0.042,0.043,0.632
23,LiFeAs2O7,5.443,82.561,449.413,0.000,0.091,0.088,0.000,0.014,0.631
24,Li5FeO4,3.744,216.774,811.506,0.429,0.500,0.117,0.000,0.007,0.628
25,LiFe(SiO3)2,4.946,124.685,616.752,0.000,0.100,0.140,0.008,0.002,0.628
26,Li2FeP2O7,4.730,219.981,1040.417,0.000,0.167,0.173,0.004,0.073,0.625
27,LiFe(PO3)4,5.316,70.777,376.224,0.000,0.056,0.047,0.035,0.001,0.625
28,Li6Fe3Sb(PO4)6,3.957,178.524,706.461,0.000,0.150,0.066,0.074,0.002,0.624
29,Li2FeCo3O8,4.640,143.124,664.063,0.000,0.143,0.113,0.003,0.027,0.624
30,Li3Fe2(PO4)3,5.040,128.413,647.200,0.056,0.150,0.135,0.035,0.006,0.622
31,Li2FeNi(PO4)2,4.232,168.371,712.510,0.000,0.143,0.069,0.002,0.046,0.622
32,Li4FeCo5O12,3.788,187.992,712.127,0.000,0.182,0.069,0.074,0.005,0.622
33,LiFe3(OF3)2,5.606,83.633,468.838,0.000,0.083,0.123,0.007,0.017,0.620
34,LiFePO4,3.446,169.891,585.489,0.000,0.143,0.028,0.011,0.016,0.620
35,Li3Mn4(FeO6)2,4.523,147.732,668.198,0.000,0.143,0.115,0.006,0.027,0.619
36,Na2LiFe(Si2O5)3,5.449,51.813,282.306,0.000,0.040,0.070,0.000,0.000,0.619
37,Li3Fe(PO4)2,5.012,100.527,503.839,0.154,0.214,0.083,0.016,0.014,0.617
38,Li3Fe2(PO4)3,4.461,128.413,572.895,0.056,0.150,0.073,0.037,0.007,0.616
39,Li2FePCO7,4.689,119.273,559.226,0.091,0.167,0.066,0.015,0.025,0.615
40,Li4Fe3Ni(PO4)4,3.845,169.127,650.284,0.000,0.143,0.045,0.003,0.044,0.613
41,Li2Fe(PO3)5,5.317,115.378,613.471,0.000,0.087,0.064,0.036,0.055,0.612
42,Li10Fe9CoO20,4.193,169.106,708.984,0.118,0.250,0.134,0.005,0.022,0.612
43,Li2FePCO7,4.735,119.273,564.806,0.091,0.167,0.067,0.012,0.036,0.609
44,Li3Fe(PO4)2,4.780,100.527,480.493,0.154,0.214,0.082,0.031,0.005,0.608
45,LiFe(SiO3)2,5.063,124.685,631.288,0.000,0.100,0.153,0.008,0.029,0.607
46,LiFe(SeO3)2,5.054,84.627,427.739,0.000,0.100,0.107,0.000,0.018,0.607
47,Li3V4FeO12,3.765,170.195,640.825,0.000,0.150,0.095,0.051,0.003,0.607
48,Li3FeF6,5.476,140.573,769.754,0.222,0.300,0.023,0.088,0.088,0.605
49,Li4FeNi3O8,3.656,138.264,505.482,0.143,0.250,0.039,0.008,0.016,0.602
50,Li2MnFeO4,3.353,189.414,635.021,0.100,0.250,0.098,0.030,0.005,0.601
51,NaLiFe2(SiO3)4,4.854,60.099,291.717,0.000,0.050,0.066,0.009,0.001,0.600
52,Li4Fe3(OF3)2,3.150,235.591,741.998,0.083,0.267,0.100,0.071,0.010,0.600
53,Li2FeP2O7,4.570,109.991,502.645,0.091,0.167,0.138,0.006,0.003,0.597
54,LiFeP2O7,5.344,113.216,604.981,0.000,0.091,0.109,0.038,0.052,0.597
55,Li2CrFeO4,3.477,144.311,501.838,0.143,0.250,0.064,0.008,0.005,0.596
56,Li10Sc9Fe(SiO3)20,5.010,39.192,196.373,0.072,0.100,0.042,0.003,0.005,0.595
57,Na3Li2Fe5(SiO3)10,4.848,47.736,231.437,0.000,0.040,0.053,0.008,0.001,0.595
58,Li2FeSiO4,3.146,165.635,521.129,0.143,0.250,0.069,0.000,0.007,0.592
59,Li5Fe3O8,3.792,162.318,615.490,0.214,0.312,0.107,0.050,0.002,0.592
60,Li8FeO5F,3.292,254.805,838.775,0.462,0.533,0.092,0.029,0.050,0.590
61,Li3FeSi2O7,5.933,18.245,108.242,0.221,0.231,0.065,0.036,0.008,0.589
62,LiFeBO3,3.020,165.312,499.256,0.048,0.167,0.074,0.000,0.005,0.587
63,Li2FeSiO4,2.793,165.635,462.602,0.143,0.250,0.028,0.009,0.006,0.587
64,Li3Cr10Fe5O24,4.820,66.781,321.917,0.000,0.071,0.115,0.012,0.000,0.587
65,Li5Fe2P2(CO7)2,3.832,117.459,450.062,0.130,0.200,0.044,0.034,0.011,0.585
66,Li2FeSiO4,2.822,165.635,467.346,0.143,0.250,0.030,0.007,0.011,0.584
67,Li7Fe8(BO3)8,3.058,166.500,509.084,0.024,0.149,0.083,0.016,0.003,0.583
68,Li3Fe(PO4)2,4.650,100.527,467.489,0.154,0.214,0.077,0.035,0.029,0.583
69,Li7Fe8(BO3)8,3.069,166.500,511.026,0.024,0.149,0.080,0.012,0.008,0.582
70,Li3Fe(PO3)8,5.642,37.831,213.458,0.057,0.083,0.080,0.060,0.008,0.581
71,Na5LiFe6(SiO3)12,4.730,19.564,92.540,0.000,0.017,0.022,0.005,0.003,0.578
72,Li2FeSiO4,2.868,165.635,475.035,0.143,0.250,0.035,0.005,0.020,0.578
73,Li2FeSiO4,2.865,165.635,474.473,0.143,0.250,0.033,0.004,0.022,0.577
74,Na9LiFe10(SiO3)20,4.703,11.683,54.948,0.000,0.010,0.013,0.004,0.002,0.576
75,Li3Cr2FeO6,4.069,96.876,394.176,0.182,0.250,0.096,0.007,0.009,0.575
