,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
1,LiMnF4,5.614,194.393,1091.246,0.000,0.167,0.000,0.001,0.092,0.705
2,Li3MnF5,4.330,313.921,1359.316,0.143,0.333,0.015,0.050,0.094,0.692
3,LiMnO2,3.150,285.493,899.400,0.000,0.250,0.015,0.029,0.010,0.686
4,Li9Mn3P8O29,4.897,171.245,838.652,0.070,0.184,0.079,0.000,0.019,0.672
5,Li3Mn(PO4)2,4.595,201.740,927.042,0.083,0.214,0.082,0.018,0.029,0.663
6,Li2MnF4,4.836,370.151,1790.020,0.000,0.286,0.079,0.043,0.211,0.662
7,Li2Mn2F7,4.688,208.777,978.769,0.000,0.182,0.015,0.054,0.067,0.662
8,NaLi2MnPCO7,3.654,217.201,793.554,0.000,0.154,0.009,0.033,0.014,0.660
9,Li2MnPO4F,4.127,293.249,1210.329,0.000,0.222,0.035,0.029,0.110,0.659
10,Li4MnH6(S2O9)2,4.630,212.289,982.831,0.000,0.121,0.073,0.063,0.035,0.654
11,Li3MnPCO7,3.677,232.308,854.159,0.091,0.231,0.016,0.050,0.022,0.652
12,Li5Mn2CoO8,3.942,242.540,956.212,0.154,0.312,0.126,0.048,0.004,0.650
13,Li5Mn3V2O10,3.115,290.439,904.800,0.000,0.250,0.101,0.050,0.005,0.650
14,Li2MnCoO4,3.433,279.545,959.586,0.000,0.250,0.025,0.034,0.073,0.643
15,Li2Mn(PO3)5,5.410,115.603,625.402,0.000,0.087,0.067,0.031,0.023,0.643
16,Li2Mn(PO4)2,5.180,103.575,536.541,0.083,0.154,0.079,0.005,0.003,0.642
17,Li2MnH4(SO5)2,4.313,180.496,778.478,0.000,0.105,0.019,0.034,0.038,0.642
18,Li2Mn2F7,4.922,208.777,1027.520,0.000,0.182,0.065,0.052,0.086,0.641
19,LiMn2F7,5.479,107.289,587.888,0.000,0.100,0.055,0.064,0.014,0.641
20,Li2Mn2F7,4.913,208.777,1025.785,0.000,0.182,0.064,0.053,0.087,0.640
21,Li2MnCo3O8,4.519,143.471,648.291,0.000,0.143,0.056,0.000,0.028,0.640
22,Li3Mn2CoO6,3.280,281.500,923.306,0.000,0.250,0.021,0.047,0.065,0.638
23,Li4MnNi3(PO4)4,4.603,167.859,772.656,0.000,0.143,0.078,0.006,0.044,0.637
24,Li3MnF6,4.723,141.245,667.103,0.222,0.300,0.026,0.002,0.042,0.637
25,LiMn2F6,4.544,116.120,527.628,0.000,0.111,0.043,0.020,0.004,0.635
26,Li3Mn2F9,4.920,177.679,874.266,0.083,0.214,0.013,0.073,0.073,0.634
27,LiMnF3,4.000,225.461,901.820,0.000,0.200,0.000,0.034,0.090,0.632
28,Li4MnCo5O12,4.215,188.292,793.631,0.000,0.182,0.021,0.000,0.079,0.632
29,Li4Mn5O12,4.814,108.410,521.835,0.105,0.190,0.084,0.000,0.002,0.631
30,Li2Mn3F8,4.226,162.098,685.019,0.000,0.154,0.078,0.058,0.001,0.630
31,LiMn(PO3)4,5.438,70.947,385.831,0.000,0.056,0.042,0.023,0.010,0.629
32,Li4Mn3CrO8,3.384,287.748,973.860,0.000,0.250,0.057,0.040,0.075,0.629
33,Li3MnVP2(O4F)2,3.725,226.720,844.552,0.000,0.176,0.003,0.035,0.073,0.626
34,LiMn(PO3)4,5.405,70.947,383.461,0.000,0.056,0.052,0.034,0.003,0.626
35,Li4MnF6,4.015,272.522,1094.150,0.222,0.364,0.000,0.036,0.127,0.624
36,Li4Mn3CoO8,3.311,282.488,935.205,0.000,0.250,0.024,0.030,0.096,0.622
37,LiMn(SO4)2,5.296,105.516,558.824,0.000,0.083,0.046,0.012,0.054,0.620
38,Li2Mn3NiO8,4.715,146.703,691.683,0.000,0.143,0.088,0.000,0.053,0.620
39,Li3Mn4(FeO6)2,4.523,147.732,668.198,0.000,0.143,0.115,0.006,0.027,0.619
40,Li13Mn17O40,4.734,112.736,533.692,0.095,0.186,0.097,0.014,0.005,0.619
41,Li3MnAsCO7,3.629,195.140,708.205,0.091,0.231,0.043,0.060,0.016,0.618
42,Li3MnF5,4.371,313.921,1372.001,0.143,0.333,0.023,0.047,0.188,0.618
43,Li9Mn15O32,4.329,172.478,746.658,0.000,0.161,0.101,0.006,0.050,0.616
44,LiMnPO5,5.079,77.528,393.739,0.067,0.125,0.076,0.022,0.001,0.614
45,LiMn2P2O9,4.716,83.039,391.580,0.000,0.071,0.052,0.021,0.001,0.614
46,Li3MnV(P2O7)2,4.034,169.419,683.371,0.000,0.130,0.010,0.000,0.072,0.613
47,LiMnPO4,3.798,170.873,648.908,0.000,0.143,0.003,0.000,0.066,0.612
48,KLiMnPCO7,3.912,104.711,409.591,0.000,0.083,0.000,0.000,0.014,0.611
49,Li6MnF8,4.320,215.644,931.479,0.308,0.400,0.096,0.069,0.049,0.610
50,Li2Mn3F10,4.870,145.391,708.017,0.000,0.133,0.075,0.083,0.038,0.610
51,Li2Mn(PO3)4,4.569,139.334,636.645,0.000,0.105,0.019,0.019,0.069,0.609
52,Li7Mn4(P2O7)4,4.755,138.996,660.903,0.048,0.149,0.097,0.012,0.046,0.608
53,Li2MnP2O7,4.028,220.803,889.387,0.000,0.167,0.008,0.020,0.118,0.607
54,Li2MnO3,4.667,86.036,401.504,0.289,0.333,0.064,0.000,0.008,0.606
55,Li5Mn3O8,3.621,204.583,740.886,0.185,0.312,0.084,0.038,0.028,0.605
56,Li8TiMn7(PO4)12,4.790,131.734,630.982,0.000,0.105,0.066,0.012,0.063,0.604
57,LiMn(SO4)2,5.108,105.516,538.976,0.000,0.083,0.034,0.017,0.069,0.602
58,Li8Mn7Sn(PO4)12,4.818,126.239,608.167,0.000,0.105,0.071,0.012,0.060,0.602
59,Li4MnF7,4.611,124.259,572.904,0.273,0.333,0.055,0.041,0.031,0.601
60,Li2MnFeO4,3.353,189.414,635.021,0.100,0.250,0.098,0.030,0.005,0.601
61,Li5MnF8,4.520,110.919,501.340,0.308,0.357,0.045,0.041,0.019,0.599
62,Li2MnP2O7,4.051,110.402,447.256,0.091,0.167,0.047,0.025,0.008,0.596
63,Li4MnP2O9,4.732,92.853,439.422,0.200,0.250,0.050,0.019,0.028,0.596
64,LiMnPO5,4.633,77.528,359.219,0.067,0.125,0.056,0.031,0.004,0.596
65,Li2MnPCO7,3.830,119.756,458.666,0.091,0.167,0.019,0.031,0.014,0.595
66,Li2MnP2O7,4.001,220.803,883.354,0.000,0.167,0.026,0.040,0.113,0.595
67,LiTi3MnCr(PO4)6,4.832,32.396,156.523,0.000,0.028,0.018,0.000,0.006,0.593
68,LiMn(PO3)3,4.966,89.699,445.411,0.000,0.071,0.059,0.000,0.055,0.591
69,Li2MnP2O7,4.052,110.402,447.379,0.091,0.167,0.046,0.024,0.018,0.589
70,Li2MnCO5,4.789,83.324,399.040,0.176,0.222,0.085,0.042,0.005,0.588
71,Li2MnNiO4,3.325,139.947,465.286,0.143,0.250,0.000,0.031,0.026,0.585
72,Li2Mn(PO3)4,4.913,69.667,342.269,0.056,0.105,0.055,0.006,0.042,0.581
73,Li4Mn2Si3O10,3.346,140.362,469.602,0.118,0.211,0.071,0.014,0.005,0.581
74,Li3Mn5O8,2.825,189.853,536.244,0.000,0.188,0.080,0.053,0.001,0.580
75,Li5Mn2P2(CO7)2,3.541,117.928,417.626,0.130,0.200,0.024,0.045,0.005,0.580
76,LiMn2P3O11,4.241,69.482,294.668,0.000,0.059,0.035,0.041,0.003,0.579
77,Li2MnCrO4,3.253,193.358,628.992,0.100,0.250,0.125,0.049,0.007,0.579
78,Li2MnSiO4,4.175,83.285,347.739,0.200,0.250,0.089,0.000,0.004,0.577
79,LiCa9Mn(PO4)7,4.470,24.648,110.175,0.000,0.022,0.019,0.000,0.002,0.577
80,Li2Mn(PO3)4,5.415,69.667,377.216,0.056,0.105,0.119,0.041,0.028,0.576
81,LiMnP2O7,4.439,113.651,504.518,0.000,0.091,0.012,0.006,0.089,0.575
82,Li2MnSiO4,4.104,83.285,341.831,0.200,0.250,0.090,0.005,0.002,0.573
83,Li5Mn2P2(CO7)2,3.638,117.928,429.030,0.130,0.200,0.031,0.043,0.017,0.573
84,LiMn(PO3)4,5.113,70.947,362.768,0.000,0.056,0.035,0.034,0.063,0.572
85,Li6Mn2C4SO16,3.886,109.928,427.140,0.148,0.207,0.068,0.051,0.004,0.571
86,LiMnF3,4.253,225.461,958.890,0.000,0.200,0.051,0.024,0.165,0.571
87,Na2LiMnPCO7,3.205,101.969,326.785,0.000,0.077,0.011,0.026,0.004,0.570
88,Li5Mn2Ni5O12,3.887,85.079,330.710,0.136,0.208,0.059,0.026,0.005,0.570
89,Li3Mn(NiO3)2,3.670,92.692,340.206,0.182,0.250,0.041,0.025,0.008,0.569
90,Li2MnSiO4,3.998,83.285,333.000,0.200,0.250,0.088,0.010,0.003,0.568
91,Li11Mn6O16,2.867,202.437,580.306,0.214,0.333,0.031,0.050,0.040,0.567
92,Li2MnSiO4,3.961,83.285,329.915,0.200,0.250,0.084,0.009,0.005,0.566
93,Li2Mn(SO4)2,4.422,102.709,454.198,0.083,0.154,0.013,0.014,0.085,0.564
94,Li4MnSi2O7,3.822,106.835,408.312,0.231,0.286,0.098,0.023,0.006,0.563
95,LiMnBO3,3.432,111.036,381.064,0.091,0.167,0.073,0.006,0.013,0.563
96,Li2MnP2O7,3.966,220.803,875.686,0.000,0.167,0.006,0.029,0.166,0.562
97,Li2MnFeO4,2.709,142.060,384.821,0.143,0.250,0.007,0.016,0.026,0.559
98,Li7Mn14O32,4.527,20.156,91.242,0.115,0.132,0.035,0.024,0.006,0.556
99,Na5LiMn2P2(CO7)2,3.465,49.474,171.436,0.000,0.038,0.014,0.011,0.000,0.554
