,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
1,Li2NiO2,3.077,512.583,1577.059,0.000,0.400,0.127,0.081,0.102,0.691
2,LiNiF3,5.910,218.556,1291.742,0.000,0.200,0.000,0.016,0.153,0.690
3,Li3Co2NiO6,3.821,274.063,1047.323,0.000,0.250,0.051,0.014,0.037,0.690
4,Li4Co3NiO8,3.813,274.007,1044.700,0.000,0.250,0.039,0.010,0.052,0.684
5,Li2Ni2(SO4)3,5.208,127.791,665.499,0.000,0.105,0.050,0.016,0.003,0.673
6,Li4Ni(PO4)2,4.974,193.932,964.558,0.154,0.267,0.138,0.019,0.014,0.666
7,LiNi(PO3)3,5.751,88.585,509.459,0.000,0.071,0.070,0.001,0.004,0.661
8,LiNi(PO3)3,5.832,88.585,516.593,0.000,0.071,0.076,0.000,0.009,0.660
9,LiNiPO4,4.925,166.877,821.900,0.000,0.143,0.140,0.033,0.000,0.655
10,LiNiPO4,4.954,166.877,826.792,0.000,0.143,0.107,0.000,0.036,0.652
11,LiNiO2,3.939,274.512,1081.186,0.000,0.250,0.130,0.000,0.064,0.652
12,Li5Ni2(PO4)3,4.686,245.319,1149.457,0.056,0.227,0.164,0.056,0.041,0.650
13,Li3NiPCO7,4.956,228.587,1132.984,0.091,0.231,0.178,0.037,0.042,0.649
14,Li3Ni2P5O16,5.066,146.438,741.845,0.000,0.115,0.086,0.014,0.027,0.649
15,Li2Ni3(P2O7)2,5.061,99.662,504.381,0.000,0.087,0.060,0.000,0.002,0.646
16,Li5Ni2(PO4)3,4.614,245.319,1131.883,0.056,0.227,0.140,0.049,0.057,0.644
17,Li4FeNi3(PO4)4,4.590,167.621,769.337,0.000,0.143,0.090,0.003,0.030,0.644
18,Li3Mg(NiO2)4,3.646,197.120,718.672,0.000,0.188,0.037,0.012,0.026,0.640
19,Li2Ni(PO3)4,5.626,137.987,776.346,0.000,0.105,0.108,0.014,0.054,0.640
20,Li2NiP2O7,5.028,217.440,1093.213,0.000,0.167,0.163,0.024,0.068,0.639
21,LiNi(SO4)2,5.298,103.979,550.851,0.000,0.083,0.057,0.046,0.007,0.639
22,LiNi(PO3)3,5.815,88.585,515.146,0.000,0.071,0.075,0.001,0.033,0.639
23,Li4MnNi3(PO4)4,4.603,167.859,772.656,0.000,0.143,0.078,0.006,0.044,0.637
24,LiNiO2,3.776,183.008,691.047,0.100,0.250,0.056,0.000,0.020,0.635
25,Li3Co(NiO2)4,3.713,181.695,674.623,0.000,0.188,0.039,0.020,0.021,0.634
26,Li2Ni(SO4)2,5.484,202.504,1110.480,0.000,0.154,0.102,0.002,0.140,0.626
27,Li14Ni9(P2O7)8,5.066,119.592,605.881,0.058,0.147,0.102,0.023,0.017,0.624
28,Li2CoNi(PO4)2,5.136,166.753,856.363,0.000,0.143,0.157,0.015,0.051,0.624
29,LiNi(PO3)3,5.066,88.585,448.796,0.000,0.071,0.048,0.029,0.010,0.624
30,Li4Co3NiO8,3.417,205.505,702.221,0.077,0.250,0.029,0.060,0.015,0.624
31,Li2FeNi(PO4)2,4.232,168.371,712.510,0.000,0.143,0.069,0.002,0.046,0.622
32,Li2Mn3NiO8,4.715,146.703,691.683,0.000,0.143,0.088,0.000,0.053,0.620
33,LiNiPO4,5.070,166.877,846.048,0.000,0.143,0.186,0.051,0.022,0.620
34,Li4Co3NiO8,3.374,205.505,693.416,0.077,0.250,0.025,0.064,0.017,0.619
35,LiNiPO4,4.955,166.877,826.845,0.000,0.143,0.157,0.043,0.038,0.616
36,Li2Ni(CO3)2,4.398,139.161,612.032,0.100,0.182,0.077,0.042,0.007,0.615
37,Li5Ni6(P2O7)4,4.494,123.779,556.317,0.000,0.106,0.090,0.038,0.001,0.615
38,LiNi(PO3)3,5.070,88.585,449.122,0.000,0.071,0.048,0.028,0.024,0.613
39,Li4Fe3Ni(PO4)4,3.845,169.127,650.284,0.000,0.143,0.045,0.003,0.044,0.613
40,LiNiPO4,5.007,166.877,835.571,0.000,0.143,0.153,0.031,0.058,0.608
41,Li4CoNi3O8,3.645,137.172,500.003,0.143,0.250,0.034,0.010,0.009,0.608
42,Li10CoNi9O20,3.774,137.222,517.940,0.143,0.250,0.050,0.007,0.011,0.608
43,Li2NiP2O7,5.142,108.720,559.009,0.091,0.167,0.102,0.025,0.033,0.604
44,Li2NiP2O7,4.726,108.720,513.805,0.091,0.167,0.076,0.037,0.016,0.604
45,LiNiAsO4,5.033,131.024,659.443,0.000,0.143,0.153,0.000,0.049,0.603
46,Li4FeNi3O8,3.656,138.264,505.482,0.143,0.250,0.039,0.008,0.016,0.602
47,Li2TiNiO4,3.652,145.313,530.750,0.143,0.250,0.046,0.035,0.009,0.599
48,LiNi2(SO4)3,5.027,64.971,326.580,0.000,0.056,0.022,0.032,0.027,0.598
49,Li3Ni2(PO4)3,4.835,126.684,612.490,0.056,0.150,0.144,0.075,0.002,0.596
50,Li4Ni5O9,3.655,115.219,421.111,0.125,0.222,0.041,0.016,0.003,0.594
51,LiNi3P3O11,4.691,59.304,278.168,0.000,0.056,0.047,0.027,0.000,0.594
52,LiNiBO3,4.763,71.790,341.970,0.118,0.167,0.094,0.015,0.001,0.590
53,Li3Ni(PO4)2,4.941,99.464,491.421,0.154,0.214,0.119,0.061,0.004,0.589
