,formula_discharge,average_voltage,capacity_grav,energy_grav,fracA_charge,fracA_discharge,stability_charge,stability_discharge,max_delta_volume,weighted_score
1,Li2VF5,4.588,335.405,1538.830,0.000,0.250,0.058,0.007,0.011,0.799
2,Li3VF5,3.568,482.167,1720.163,0.000,0.333,0.036,0.075,0.053,0.779
3,Li3VF6,4.333,288.568,1250.262,0.125,0.300,0.039,0.000,0.015,0.747
4,Li4V2F9,3.936,356.601,1403.722,0.000,0.267,0.065,0.037,0.030,0.743
5,Li3VF6,4.245,288.568,1225.020,0.125,0.300,0.026,0.007,0.020,0.740
6,Li2VF5,4.260,335.405,1428.885,0.000,0.250,0.000,0.046,0.072,0.735
7,Li3VF5,3.581,482.167,1726.657,0.000,0.333,0.010,0.052,0.137,0.732
8,Li11V6O5F19,3.702,358.236,1326.050,0.000,0.268,0.023,0.070,0.029,0.732
9,Li11V6O5F19,3.685,358.236,1320.071,0.000,0.268,0.028,0.078,0.024,0.730
10,Li3VF5,3.586,482.167,1729.243,0.000,0.333,0.034,0.067,0.122,0.730
11,Li3VF6,4.212,288.568,1215.518,0.125,0.300,0.053,0.035,0.005,0.729
12,Li3VF6,4.044,288.568,1166.894,0.125,0.300,0.006,0.031,0.025,0.722
13,Li2VOF3,3.760,388.940,1462.294,0.000,0.286,0.096,0.094,0.029,0.720
14,Li4VF7,4.629,253.209,1171.981,0.200,0.333,0.106,0.013,0.011,0.708
15,Li2VF4,3.300,380.657,1256.250,0.000,0.286,0.041,0.033,0.062,0.701
16,Li2VOF3,3.798,388.940,1477.121,0.000,0.286,0.096,0.083,0.065,0.699
17,Li11V4F24,4.281,236.673,1013.078,0.138,0.282,0.049,0.029,0.012,0.693
18,Li4VF6,3.433,417.261,1432.517,0.125,0.364,0.046,0.056,0.089,0.693
19,LiVOF3,4.452,204.784,911.797,0.000,0.167,0.054,0.024,0.005,0.691
20,LiVF4,4.253,200.196,851.494,0.000,0.167,0.000,0.006,0.024,0.690
21,LiVO2F,3.682,246.157,906.410,0.000,0.200,0.005,0.049,0.003,0.689
22,LiVF5,4.638,175.317,813.129,0.000,0.143,0.007,0.037,0.007,0.689
23,LiVF5,4.689,175.317,822.109,0.000,0.143,0.005,0.029,0.017,0.687
24,LiVF4,4.340,200.196,868.815,0.000,0.167,0.025,0.012,0.018,0.687
25,Li2VOF3,3.821,388.940,1486.238,0.000,0.286,0.058,0.049,0.117,0.686
26,Li3VFeP2(O4F)2,4.543,226.142,1027.383,0.000,0.176,0.038,0.000,0.059,0.684
27,LiVF5,4.712,175.317,826.064,0.000,0.143,0.014,0.033,0.018,0.682
28,LiVOF3,4.158,204.784,851.467,0.000,0.167,0.020,0.046,0.008,0.677
29,LiVOF3,4.461,204.784,913.638,0.000,0.167,0.048,0.018,0.035,0.672
30,Li2VOF4,4.501,170.910,769.226,0.143,0.250,0.041,0.000,0.015,0.668
31,Li7V5O12,3.014,378.791,1141.587,0.000,0.292,0.088,0.035,0.060,0.664
32,LiVOF3,4.483,204.784,917.967,0.000,0.167,0.051,0.017,0.045,0.664
33,Li19V12O32,2.756,320.296,882.586,0.083,0.302,0.003,0.060,0.017,0.663
34,LiVF5,4.558,175.317,799.172,0.000,0.143,0.004,0.046,0.034,0.660
35,LiVF5,5.068,175.317,888.450,0.000,0.143,0.037,0.002,0.073,0.660
36,Li2VF6,4.794,149.885,718.539,0.125,0.222,0.027,0.000,0.035,0.656
37,LiVF5,4.916,175.317,861.915,0.000,0.143,0.084,0.064,0.020,0.654
38,Li6VCr3(PO4)6,4.077,196.491,801.018,0.000,0.150,0.047,0.044,0.011,0.654
39,Li2VH2OF5,3.923,226.070,886.769,0.053,0.182,0.032,0.062,0.019,0.653
40,LiVPO5,3.832,158.726,608.256,0.000,0.125,0.000,0.000,0.005,0.653
41,Li2VF4,3.347,380.657,1274.099,0.000,0.286,0.045,0.023,0.131,0.651
42,Li5Mn3V2O10,3.115,290.439,904.800,0.000,0.250,0.101,0.050,0.005,0.650
43,Li3V(PO4)2,3.850,204.820,788.491,0.083,0.214,0.068,0.028,0.007,0.645
44,LiVOF3,4.098,204.784,839.230,0.000,0.167,0.011,0.048,0.050,0.643
45,LiVF5,4.874,175.317,854.476,0.000,0.143,0.082,0.068,0.036,0.638
46,Li9V3P8O29,4.142,173.460,718.510,0.070,0.184,0.039,0.000,0.039,0.635
47,Li2V(PO3)5,5.370,116.608,626.188,0.000,0.087,0.089,0.038,0.021,0.633
48,LiVO2,2.949,298.188,879.262,0.000,0.250,0.138,0.000,0.028,0.631
49,Li2VOF4,4.205,170.910,718.656,0.143,0.250,0.018,0.017,0.046,0.630
50,Li3VOF5,4.110,146.652,602.687,0.222,0.300,0.025,0.026,0.008,0.629
51,LiVAsO5,3.847,125.946,484.547,0.000,0.125,0.000,0.000,0.010,0.629
52,Li2VF6,4.384,149.885,657.163,0.125,0.222,0.024,0.043,0.027,0.627
53,Li3MnVP2(O4F)2,3.725,226.720,844.552,0.000,0.176,0.003,0.035,0.073,0.626
54,LiV(SO4)2,4.682,107.203,501.906,0.000,0.083,0.013,0.015,0.028,0.625
55,Li2VO3,3.151,237.556,748.442,0.200,0.333,0.085,0.022,0.003,0.624
56,LiV(PO3)4,5.046,71.706,361.808,0.000,0.056,0.033,0.015,0.004,0.624
57,Li2VF6,4.202,149.885,629.778,0.125,0.222,0.029,0.068,0.009,0.621
58,LiV(PO3)4,4.835,71.706,346.725,0.000,0.056,0.004,0.000,0.022,0.618
59,LiV(PO3)4,4.798,71.706,344.028,0.000,0.056,0.022,0.019,0.003,0.617
60,Li3MnV(P2O7)2,4.034,169.419,683.371,0.000,0.130,0.010,0.000,0.072,0.613
61,Li2VP2O7,2.780,224.499,624.142,0.000,0.167,0.000,0.036,0.026,0.610
62,Li2VSiO5,3.390,155.006,525.402,0.125,0.222,0.054,0.000,0.001,0.607
63,Li3V4FeO12,3.765,170.195,640.825,0.000,0.150,0.095,0.051,0.003,0.607
64,Li4V5O12,2.881,225.952,650.857,0.000,0.190,0.003,0.075,0.029,0.601
65,Li4V3CrO8,2.831,222.987,631.234,0.077,0.250,0.093,0.011,0.010,0.600
66,Li2TiVO4,2.070,303.376,628.130,0.000,0.250,0.023,0.026,0.046,0.598
67,Li2VOF3,3.077,194.470,598.325,0.167,0.286,0.033,0.069,0.001,0.598
68,Li4V2SiGeO10,3.465,137.314,475.806,0.125,0.222,0.060,0.004,0.000,0.597
69,Li3V2F12,4.623,76.426,353.345,0.125,0.176,0.026,0.022,0.018,0.597
70,Li4V4(OF3)3,2.732,237.964,650.016,0.000,0.200,0.001,0.096,0.026,0.596
71,LiV3P3O13,4.876,58.178,283.674,0.000,0.050,0.071,0.015,0.001,0.595
72,Li5VF8,4.425,225.570,998.204,0.250,0.357,0.096,0.047,0.101,0.593
73,Li4V2SiGeO10,3.355,137.314,460.723,0.125,0.222,0.046,0.004,0.009,0.590
74,Li3V5O12,3.110,171.980,534.891,0.000,0.150,0.032,0.076,0.002,0.589
75,LiV3(OF3)2,3.866,87.657,338.884,0.000,0.083,0.041,0.000,0.006,0.589
76,LiVP2O7,3.947,115.610,456.307,0.000,0.091,0.031,0.000,0.038,0.589
77,Li14V9(P2O7)8,2.972,192.698,572.726,0.000,0.147,0.072,0.047,0.003,0.588
78,Li2VGeO5,3.305,123.248,407.370,0.125,0.222,0.032,0.005,0.007,0.587
79,Li3V2CrO6,2.986,198.017,591.267,0.100,0.250,0.106,0.001,0.015,0.586
80,LiV2OF5,3.541,121.927,431.794,0.000,0.111,0.042,0.045,0.000,0.586
81,Li3V4(OF3)3,2.960,181.265,536.618,0.000,0.158,0.001,0.091,0.017,0.581
82,Li2V2OF5,2.577,236.390,609.265,0.000,0.200,0.002,0.075,0.042,0.581
83,Li2V3CrO8,3.946,154.610,610.095,0.000,0.143,0.177,0.002,0.018,0.580
84,Li5VP2(O4F)2,3.824,85.468,326.828,0.235,0.278,0.027,0.006,0.008,0.580
85,Li3V4(OF3)3,2.951,181.265,534.869,0.000,0.158,0.002,0.094,0.016,0.580
86,LiV2OF5,3.469,121.927,422.936,0.000,0.111,0.040,0.051,0.002,0.579
87,LiVF3,2.351,233.304,548.496,0.000,0.200,0.000,0.019,0.055,0.578
88,Li2V2F7,2.796,215.486,602.538,0.000,0.182,0.002,0.113,0.026,0.578
89,Li2VSiO5,3.399,155.006,526.819,0.125,0.222,0.089,0.030,0.009,0.577
90,Li5V4O8,2.391,365.675,874.482,0.000,0.294,0.161,0.054,0.068,0.574
91,LiV(GeO3)2,3.464,89.589,310.360,0.000,0.100,0.051,0.000,0.005,0.571
92,LiV2(OF)3,3.357,125.348,420.743,0.000,0.111,0.017,0.089,0.001,0.571
93,LiV2OF5,3.081,121.927,375.615,0.000,0.111,0.005,0.063,0.002,0.569
94,LiV2F6,2.985,120.286,359.079,0.000,0.111,0.051,0.000,0.005,0.569
95,Li2V(OF)2,3.220,198.796,640.156,0.167,0.286,0.000,0.082,0.061,0.567
96,Li2VPO4F,2.813,299.804,843.429,0.000,0.222,0.000,0.035,0.146,0.564
97,Li2AlVO4,2.841,172.022,488.800,0.143,0.250,0.089,0.025,0.007,0.563
98,Li3VO3F,3.039,193.148,586.899,0.286,0.375,0.083,0.051,0.021,0.562
99,Li3VO3F,3.081,193.148,595.173,0.286,0.375,0.091,0.052,0.026,0.557
100,Li2VCrO4,2.665,148.224,395.018,0.143,0.250,0.063,0.020,0.002,0.557
101,LiV4O5F7,3.470,63.257,219.529,0.000,0.059,0.007,0.041,0.001,0.555
102,Li3VO3F,2.930,193.148,565.966,0.286,0.375,0.086,0.067,0.016,0.553
103,LiV4O5F7,3.528,63.257,223.189,0.000,0.059,0.013,0.042,0.004,0.552
104,Li2VP2O7,2.908,224.499,652.850,0.000,0.167,0.002,0.017,0.117,0.551
105,Li3VCr2O6,2.939,98.624,289.892,0.182,0.250,0.053,0.002,0.005,0.547
106,Li4Mn3V3(TeO8)2,3.341,125.154,418.129,0.000,0.143,0.118,0.082,0.000,0.539
107,LiVSiO4,3.441,89.359,307.492,0.077,0.143,0.072,0.005,0.026,0.539
108,LiV4P7O24,3.304,33.027,109.105,0.000,0.028,0.005,0.015,0.002,0.536
109,Li2VFeO4,2.336,145.135,339.050,0.143,0.250,0.042,0.047,0.003,0.536
110,Li3V(OF)2,2.302,189.062,435.206,0.286,0.375,0.058,0.080,0.001,0.536
111,Li3Nb4VO12,2.386,126.545,301.977,0.000,0.150,0.051,0.028,0.008,0.535
112,LiV4OF11,2.991,61.515,183.999,0.000,0.059,0.002,0.038,0.004,0.535
113,Li2VO2F,2.915,115.702,337.316,0.273,0.333,0.059,0.005,0.039,0.523
114,Li2VO2F,3.219,115.702,372.499,0.273,0.333,0.092,0.010,0.040,0.522
115,Li4VO3F2,2.877,162.729,468.174,0.333,0.400,0.100,0.088,0.014,0.519
116,Li2V2F7,2.668,107.743,287.505,0.100,0.182,0.064,0.046,0.008,0.518
117,LiVPO4,2.293,175.341,401.970,0.000,0.143,0.000,0.000,0.091,0.518
118,Li2TiVO4,1.440,151.688,218.359,0.143,0.250,0.000,0.019,0.010,0.516
119,Li5VO3F2,2.031,312.296,634.401,0.333,0.455,0.112,0.088,0.063,0.510
120,Li5V2Cr2O8,1.441,218.149,314.394,0.143,0.294,0.000,0.080,0.047,0.496
121,Li6VF8,2.130,109.584,233.370,0.357,0.400,0.056,0.056,0.002,0.492
122,Li8VO5F,1.232,260.886,321.522,0.462,0.533,0.070,0.051,0.035,0.484
123,Li2VO2,1.119,415.217,464.691,0.143,0.400,0.066,0.103,0.142,0.460
